episode,description,rating,number of votes,air date,Season,Episode,Title
S7.E20 ∙ Bad Jubies,"Finn, Jake, LSP and BMO must contend with some deadly weather.",8.0,1.4K,"Thu, Jan 14, 2016",7,20,Bad Jubies
S7.E21 ∙ A King's Ransom,Ice King suffers a heartbreaking loss and it's up to Finn and Jake to find the culprit.,8.3,1.3K,"Fri, Jan 15, 2016",7,21,A King's Ransom
S7.E22 ∙ Scamps,A King's Ransom: Ice King suffers a heartbreaking loss and it's up to Finn and Jake to find the culprit. / Scamps: Finn takes a group of at-risk Candy Kingdom youth on a camping trip they'll never forget.,7.1,1.3K,"Thu, Jan 21, 2016",7,22,Scamps
S7.E23 ∙ Crossover,"Due to a prior wish Finn asked Prismo to make, Finn must now stop another dimension's version of himself and an old villain from destroying the entire multiverse.",9.2,1.5K,"Thu, Jan 28, 2016",7,23,Crossover
S7.E24 ∙ The Hall of Egress,Finn enters a mysterious dungeon and struggles to find a way out and back to Jake.,9.4,1.8K,"Sat, Mar 5, 2016",7,24,The Hall of Egress
S7.E25 ∙ Flute Spell,"With it being rumoured that Finn is seeing someone new, Jake endeavours to find out who.",8.4,1.4K,"Sat, Mar 12, 2016",7,25,Flute Spell
S7.E26 ∙ The Thin Yellow Line,Finn and Jake infiltrate the Banana Guard ranks and stumble upon a conspiracy.,8.1,1.3K,"Sat, Mar 19, 2016",7,26,The Thin Yellow Line
S8.E1 ∙ Broke His Crown,Ice King has some problems with his crown. Princess Bubblegum helps along with Marceline.,8.8,1.4K,"Sat, Mar 26, 2016",8,1,Broke His Crown
S8.E2 ∙ Don't Look,"At the library, Finn learns of a mountain with treasure possessing transformative properties at its peak. He and Jake venture to find the treasure, but find more than they expected when they encounter the hermit guarding the treasure.",8.4,1.3K,"Sat, Apr 2, 2016",8,2,Don't Look
S8.E3 ∙ Beyond the Grotto,"In pursuit of a runaway Sea Lard, Finn and Jake are led down a whirlpool to a curious new land.",7.6,1.3K,"Sat, Apr 9, 2016",8,3,Beyond the Grotto
S8.E4 ∙ Lady Rainicorn of the Crystal Dimension,"T.V., still living with his mother, discovers a magical object and without knowing, attracts Lee - a rainicorn from the Crystal Dimension, which reveals an important part of Lady Rainicorn's past.",7.4,1.2K,"Sat, Apr 16, 2016",8,4,Lady Rainicorn of the Crystal Dimension
S8.E5 ∙ I Am a Sword,"Fin loses his Fin-Sword and he needs to get it back ASAP, because someone is using it to cause terror and rampage.",8.1,1.3K,"Sat, Apr 23, 2016",8,5,I Am a Sword
S8.E6 ∙ Bun Bun,"Princess Bubblegum feels sad that Cinnamon Bun is the only candy person in the Flame Kingdom, so she creates Bun Bun, a tiny cinnamon bun, to keep him company.",7.8,1.3K,"Thu, May 5, 2016",8,6,Bun Bun
S8.E7 ∙ Normal Man,"Stripped of his magic powers, Normal Man enlists Finn and Jake's help to rescue his brother Glob.",8.1,1.3K,"Thu, May 12, 2016",8,7,Normal Man
S8.E8 ∙ Elemental,Ice King discovers something buried deep beneath the Ice Kingdom that could change Ooo forever.,8.2,1.3K,"Thu, May 19, 2016",8,8,Elemental
S8.E9 ∙ Five Short Tables,Fionna and Cake go on an adventure to push the art of cake to another level.,7.2,1.2K,"Thu, May 26, 2016",8,9,Five Short Tables
S8.E10 ∙ The Music Hole,"Finn gets to be the judge of battle of the bands held in the Candy Kingdom, when he starts to hear music that nobody else can.",8.6,1.4K,"Thu, Jun 23, 2016",8,10,The Music Hole
S8.E11 ∙ Daddy-Daughter Card Wars,"Daddy-Daughter Card Wars: To put his embarrassing past behind him, Jake needs his daughter Charlie's help to win an underground Card Wars tourney.",7.7,1.2K,"Thu, Jul 7, 2016",8,11,Daddy-Daughter Card Wars
S8.E12 ∙ Preboot,"While searching for old human artifacts, Jake, Finn, and Susan Strong meet Tiffany, who is employed by a mysterious Doctor Gross.",7.9,1.3K,"Sat, Nov 19, 2016",8,12,Preboot
S8.E13 ∙ Reboot,"After Susan Strong's chip is activated, she goes rogue and attacks Finn.",8.4,1.3K,"Sat, Nov 19, 2016",8,13,Reboot
S8.E14 ∙ Two Swords,Finn and Jake puzzle over the nature of a mysterious newcomer.,8.5,1.3K,"Mon, Jan 23, 2017",8,14,Two Swords
S8.E15 ∙ Do No Harm,Doctor Princess thrusts a great responsibility upon Finn. Jake goes adventuring with a new friend.,8.3,1.3K,"Mon, Jan 23, 2017",8,15,Do No Harm
S8.E16 ∙ Wheels,Kim Kil Whan seeks Jake's assistance with his daughter's detachment from school. Jake gets distracted by something else instead.,7.5,1.3K,"Tue, Jan 24, 2017",8,16,Wheels
S8.E17 ∙ High Strangeness,Tree Trunks receives a strange visitor who reacquaints her with some family members. Tensions flare between her and Princess Bubblegum.,7.6,1.2K,"Wed, Jan 25, 2017",8,17,High Strangeness
S8.E18 ∙ Horse and Ball,James Baxter takes his turn to showcase his backstory through an interesting collage of flashbacks brought on by his famous Ball being popped.,7.4,1.2K,"Thu, Jan 26, 2017",8,18,Horse and Ball
S8.E19 ∙ Jelly Beans Have Power,Princess Bubblegum explores her new candy powers.,8.0,1.2K,"Fri, Jan 27, 2017",8,19,Jelly Beans Have Power
